53945.85108796 0.0006944444467081 1.2267e-10 2.7296e-11 2.7296e-11 42 48 0.25 2.3985e+11 -1 -1 none
53945.85247685 0.0006944444394321 1.1211e-10 2.5017e-11 2.5017e-11 37 115 0.083334 2.3985e+11 -1 -1 none
53945.85386574 0.0006944444467081 6.2788e-11 1.9817e-11 1.9817e-11 25 108 0.083334 2.4992e+11 -1 -1 none
53945.85525463 0.0006944444394321 1.5468e-10 2.7257e-11 2.7257e-11 48 103 0.083334 2.4992e+11 -1 -1 none
53945.85664352 0.0006944444467081 7.0946e-11 1.9511e-11 1.9511e-11 26 88 0.083334 2.5804e+11 -1 -1 none
53945.85803241 0.0006944444394321 6.2711e-11 1.7924e-11 1.7924e-11 22 66 0.083334 2.5804e+11 -1 -1 none
53945.8594213 0.0006944444467081 4.1382e-11 1.5304e-11 1.5304e-11 17 69 0.083334 2.6662e+11 -1 -1 none
53945.86081018 0.0006944444394321 6.4065e-11 1.7732e-11 1.7732e-11 23 67 0.083334 2.6662e+11 -1 -1 none
53945.86219907 0.0006944444467081 8.4136e-11 1.9333e-11 1.9333e-11 28 59 0.083334 2.6907e+11 -1 -1 none
53945.86358796 0.0006944444394321 6.8949e-11 1.7524e-11 1.7524e-11 23 49 0.083334 2.6907e+11 -1 -1 none
53945.86497685 0.0006944444467081 5.096e-11 1.5606e-11 1.5606e-11 18 49 0.083334 2.6783e+11 -1 -1 none
53945.86636574 0.0006944444394321 8.8798e-11 1.9757e-11 1.9757e-11 29 57 0.083334 2.6783e+11 -1 -1 none
53945.86775463 0.0006944444467081 6.6159e-11 1.77e-11 1.77e-11 23 60 0.083334 2.6683e+11 -1 -1 none
53945.86914352 0.0006944444394321 1.0199e-10 2.1425e-11 2.1425e-11 33 21 0.25 2.6683e+11 -1 -1 none
53945.8721412 0.0006944444467081 1.7669e-10 2.7116e-11 2.7116e-11 50 19 0.2 2.5643e+11 -1 -1 none
53945.87353009 0.0006944444394321 1.619e-10 2.5882e-11 2.5882e-11 46 55 0.066666 2.5643e+11 -1 -1 none
53945.87491898 0.0006944444467081 1.3183e-10 2.3631e-11 2.3631e-11 38 55 0.066666 2.5541e+11 -1 -1 none
53945.87630787 0.0006944444394321 2.1221e-10 2.9676e-11 2.9672e-11 60 71 0.066666 2.5541e+11 -1 -1 none
53945.87769676 0.0006944444467081 7.857e-11 1.9346e-11 1.9346e-11 25 70 0.066666 2.5381e+11 -1 -1 none
53945.87908565 0.0006944444394321 1.3215e-10 2.4112e-11 2.4112e-11 39 72 0.066666 2.5381e+11 -1 -1 none
53945.88047454 0.0006944444467081 1.3631e-10 2.4239e-11 2.4239e-11 39 59 0.066666 2.523e+11 -1 -1 none
53945.88186343 0.0006944444394321 1.9825e-10 2.8758e-11 2.8758e-11 55 60 0.066666 2.523e+11 -1 -1 none
