46.13959	0.01953	0.03123
46.14102	0.00952	0.02082
46.14238	0.04497	0.05979
46.14375	0.01415	0.02623
46.14511	0.01417	0.02596
46.14658	0.04814	0.06267
46.14796	0.02168	0.03515
46.14933	0.01504	0.02751
46.15234	0.03535	0.04831
46.15368	0.02553	0.03729
46.15511	0.01606	0.02774
46.15643	0.03165	0.04613
46.15787	0.02006	0.03180
46.15932	0.02823	0.04163
46.16064	0.01510	0.02747
46.16210	0.02360	0.03548
46.16355	0.03922	0.05398
46.16483	0.03260	0.04699
46.16634	0.02394	0.03797
46.16748	0.00016	0.01265
46.16887	0.00342	0.01485
46.17029	0.03449	0.04980
